#,Date,Author Name,Tweet ID,Text,Likes,Retweet Count,Views Count,Bookmark Count,Authors Followers Count,Mention Count,Tweet URL,Source,Medias,User Mentions,URLs,Hashtags,Unnamed: 17,Prediction,predicted_category,prediction_probabilities,top_1_category,top_1_probability,top_2_category,top_2_probability,top_3_category,top_3_probability
159,24.01.2025,GT Medya,1882416458204143713,"İstanbul'da terör örgütü DEAŞ'e yönelik operasyonda, Türkiye'ye saldırı hazırlığında oldukları değerlendirilen 9 şüpheli gözaltına alındı.

📌 Şüphelilerden 3'ünün sınır dışı edileceği öğrenilirken, diğerlerinin emniyetteki işlemleri sürüyor. https://t.co/cgt0WONEHD",0,0,355,0,3616,0,https://twitter.com/gtmedyahaber/status/1882416458204143713,Twitter Web App,https://pbs.twimg.com/media/Gh-vsd9WoAAk-rY.jpg,,,,,Savaş,Savaş,"{'Savaş': np.float32(0.98008955), 'Gündem': np.float32(0.004638973), 'Spor': np.float32(0.0031671003), 'Eğitim': np.float32(0.0029772888), 'Teknoloji': np.float32(0.0026439778), 'Ekonomi': np.float32(0.001509768), 'Sağlık': np.float32(0.0012467274), 'Afet': np.float32(0.0010593842), 'Siyaset': np.float32(0.0010146025), 'Kültür & Sanat': np.float32(0.0009719023), 'Bilim': np.float32(0.00068075757)}",Savaş,0.98008955,Gündem,0.004638973,Spor,0.0031671003
128,24.01.2025,GT Medya,1882416754099646594,Kaynak:https://t.co/IuFFzpmDFa,1,0,269,0,3617,0,https://twitter.com/gtmedyahaber/status/1882416754099646594,Twitter Web App,,,https://www.aa.com.tr/tr/gundem/istanbulda-teror-orgutu-deasa-yonelik-operasyonda-9-zanli-yakalandi/3460142,,,Afet,Afet,"{'Afet': np.float32(0.65497375), 'Sağlık': np.float32(0.30458084), 'Kültür & Sanat': np.float32(0.011911724), 'Bilim': np.float32(0.0052442737), 'Teknoloji': np.float32(0.0041587423), 'Gündem': np.float32(0.003891045), 'Ekonomi': np.float32(0.003643785), 'Spor': np.float32(0.0035077897), 'Eğitim': np.float32(0.0032634765), 'Siyaset': np.float32(0.0028900171), 'Savaş': np.float32(0.0019346515)}",Afet,0.65497375,Sağlık,0.30458084,Kültür & Sanat,0.011911724
124,24.01.2025,GT Medya,1882417986298109953,"Cumhurbaşkanı Erdoğan, Yargı Reformu Stratejisi Tanıtım Toplantısı'nda konuştu:

🗣️Trafikte saldırı amacıyla araçlarından inen sürücülerin ehliyetine el konulacak.
🗣️ Nafakaya ilişkin yeni bir düzenleme yapılacak.

(1/3) https://t.co/2QDQBXBkjm",0,0,598,0,3617,0,https://twitter.com/gtmedyahaber/status/1882417986298109953,Twitter Web App,https://pbs.twimg.com/media/Gh-wdOoWQAEb8YH.jpg,,,,,Gündem,Gündem,"{'Gündem': np.float32(0.54212457), 'Siyaset': np.float32(0.32628414), 'Teknoloji': np.float32(0.04069379), 'Sağlık': np.float32(0.029491587), 'Savaş': np.float32(0.022179738), 'Afet': np.float32(0.009640421), 'Ekonomi': np.float32(0.009530129), 'Eğitim': np.float32(0.0061021275), 'Spor': np.float32(0.005888614), 'Bilim': np.float32(0.0049899337), 'Kültür & Sanat': np.float32(0.0030749787)}",Gündem,0.54212457,Siyaset,0.32628414,Teknoloji,0.04069379
157,24.01.2025,GT Medya,1882419113542516965,"🗣️ Kısa süreli hapis cezasına seçenek yaptırımların kapsamı genişletilecek.
🗣️ Aile içi ve kadına yönelik şiddet suçları soruşturma büroları ülke sathında yaygınlaştırılacak.

(3/3)",1,0,392,0,3616,0,https://twitter.com/gtmedyahaber/status/1882419113542516965,Twitter Web App,,,,,,Siyaset,Siyaset,"{'Siyaset': np.float32(0.7947678), 'Gündem': np.float32(0.050452664), 'Teknoloji': np.float32(0.046979167), 'Savaş': np.float32(0.037302308), 'Spor': np.float32(0.026478266), 'Ekonomi': np.float32(0.014632773), 'Bilim': np.float32(0.008062376), 'Eğitim': np.float32(0.0060458994), 'Afet': np.float32(0.005990746), 'Kültür & Sanat': np.float32(0.005869218), 'Sağlık': np.float32(0.0034189073)}",Siyaset,0.7947678,Gündem,0.050452664,Teknoloji,0.046979167
158,24.01.2025,GT Medya,1882420112764043765,Kaynak:https://t.co/3IMp0HrU53,0,0,325,0,3616,0,https://twitter.com/gtmedyahaber/status/1882420112764043765,Twitter Web App,,,https://www.aa.com.tr/tr/gundem/cumhurbaskani-erdogan-yeni-strateji-belgesiyle-etkin-ve-hizli-isleyen-bir-adalet-sistemi-insa-edecegiz/3460166,,,Afet,Afet,"{'Afet': np.float32(0.5185319), 'Sağlık': np.float32(0.39908946), 'Kültür & Sanat': np.float32(0.019942185), 'Teknoloji': np.float32(0.01521312), 'Gündem': np.float32(0.010146476), 'Bilim': np.float32(0.00996271), 'Ekonomi': np.float32(0.007313424), 'Spor': np.float32(0.0070443465), 'Siyaset': np.float32(0.006232815), 'Eğitim': np.float32(0.003917693), 'Savaş': np.float32(0.0026057463)}",Afet,0.5185319,Sağlık,0.39908946,Kültür & Sanat,0.019942185
154,24.01.2025,GT Medya,1882424996246765798,"🚨#SonDakika: Elazığ'da maden ocağında patlama meydana geldi, 2 işçi göçük altında kaldı. https://t.co/R8fJwLrJN0",3,2,932,0,3616,0,https://twitter.com/gtmedyahaber/status/1882424996246765798,Twitter Web App,https://pbs.twimg.com/media/Gh-3hblXkAA_wem.jpg,,,,SonDakika,Gündem,Gündem,"{'Gündem': np.float32(0.68616974), 'Afet': np.float32(0.17376961), 'Sağlık': np.float32(0.065052755), 'Teknoloji': np.float32(0.024285307), 'Bilim': np.float32(0.016664835), 'Eğitim': np.float32(0.008983814), 'Kültür & Sanat': np.float32(0.007751016), 'Ekonomi': np.float32(0.0058661913), 'Savaş': np.float32(0.005256319), 'Siyaset': np.float32(0.003289805), 'Spor': np.float32(0.0029105835)}",Gündem,0.68616974,Afet,0.17376961,Sağlık,0.065052755
155,24.01.2025,GT Medya,1882425368604516539,Kaynak: https://t.co/pFYtFPdO6d,1,0,485,0,3616,0,https://twitter.com/gtmedyahaber/status/1882425368604516539,Twitter Web App,,,https://x.com/birgun_gazetesi/status/1882420097568170371?s=12&t=kouJqqwQaa4Aoze3PzVORg,,,Afet,Afet,"{'Afet': np.float32(0.6799769), 'Sağlık': np.float32(0.2569955), 'Kültür & Sanat': np.float32(0.02005443), 'Teknoloji': np.float32(0.007563232), 'Bilim': np.float32(0.007056659), 'Spor': np.float32(0.0069287457), 'Ekonomi': np.float32(0.005921171), 'Siyaset': np.float32(0.005397492), 'Gündem': np.float32(0.004589371), 'Eğitim': np.float32(0.003364366), 'Savaş': np.float32(0.0021522527)}",Afet,0.6799769,Sağlık,0.2569955,Kültür & Sanat,0.02005443
152,24.01.2025,GT Medya,1882429500291793056,"2025’in En iyi Film Oscar adayları, Akademi tarafından açıklandı:

🎥 Anora
🎥 The Brutalist
🎥 A Complete Unknown
🎥 Conclave
🎥 Dune: Part Two
🎥 Emilia Perez
🎥 I’m Still Here
🎥 Nickel Boys
🎥 The Substance 
🎥 Wicked https://t.co/bLnmZf6QGH",2,0,413,0,3616,0,https://twitter.com/gtmedyahaber/status/1882429500291793056,Twitter Web App,https://pbs.twimg.com/media/Gh-7EoRXkAAwjKG.jpg,,,,,Kültür & Sanat,Kültür & Sanat,"{'Kültür & Sanat': np.float32(0.752479), 'Sağlık': np.float32(0.119666), 'Spor': np.float32(0.05820038), 'Afet': np.float32(0.018867416), 'Bilim': np.float32(0.017738849), 'Eğitim': np.float32(0.011032449), 'Teknoloji': np.float32(0.0068150065), 'Ekonomi': np.float32(0.0053409864), 'Savaş': np.float32(0.004534592), 'Gündem': np.float32(0.0038038471), 'Siyaset': np.float32(0.0015214895)}",Kültür & Sanat,0.752479,Sağlık,0.119666,Spor,0.05820038
153,24.01.2025,GT Medya,1882429712015958446,Kaynak: https://t.co/058U8pk4QV,0,0,487,0,3616,0,https://twitter.com/gtmedyahaber/status/1882429712015958446,Twitter Web App,,,https://x.com/TheAcademy/status/1882425285221790182,,,Afet,Afet,"{'Afet': np.float32(0.46858925), 'Sağlık': np.float32(0.46179432), 'Kültür & Sanat': np.float32(0.01574624), 'Bilim': np.float32(0.011219154), 'Teknoloji': np.float32(0.011119156), 'Gündem': np.float32(0.0103905685), 'Ekonomi': np.float32(0.0060662306), 'Spor': np.float32(0.0047250655), 'Eğitim': np.float32(0.0041432925), 'Siyaset': np.float32(0.004102752), 'Savaş': np.float32(0.002103905)}",Afet,0.46858925,Sağlık,0.46179432,Kültür & Sanat,0.01574624
150,24.01.2025,GT Medya,1882431581262172611,"2025’in En İyi Uluslararası Film Oscar adayları, Akademi tarafından açıklandı:

🎥 I’m Still Here (Brezilya)
🎥 The Girl With The Needle (Danimarka)
🎥 Emilia Perez (Fransa)
🎥 The Seed Of The Sacred Fig (Almanya)
🎥 Flow (Letonya) https://t.co/Z3tHbG8aGf",2,0,396,0,3616,0,https://twitter.com/gtmedyahaber/status/1882431581262172611,Twitter Web App,https://pbs.twimg.com/media/Gh-9cXAXMAAkaQb.jpg,,,,,Kültür & Sanat,Kültür & Sanat,"{'Kültür & Sanat': np.float32(0.95315784), 'Spor': np.float32(0.014304384), 'Afet': np.float32(0.007730827), 'Bilim': np.float32(0.006611896), 'Sağlık': np.float32(0.005927029), 'Eğitim': np.float32(0.003414703), 'Teknoloji': np.float32(0.002369923), 'Ekonomi': np.float32(0.0018202484), 'Savaş': np.float32(0.0016664071), 'Gündem': np.float32(0.00159123), 'Siyaset': np.float32(0.0014054198)}",Kültür & Sanat,0.95315784,Spor,0.014304384,Afet,0.007730827
