#,Date,Author Name,Tweet ID,Text,Likes,Retweet Count,Views Count,Bookmark Count,Authors Followers Count,Mention Count,Tweet URL,Source,Medias,User Mentions,URLs,Hashtags,Unnamed: 17,Prediction
159,24.01.2025,GT Medya,1882416458204143713,"İstanbul'da terör örgütü DEAŞ'e yönelik operasyonda, Türkiye'ye saldırı hazırlığında oldukları değerlendirilen 9 şüpheli gözaltına alındı.

📌 Şüphelilerden 3'ünün sınır dışı edileceği öğrenilirken, diğerlerinin emniyetteki işlemleri sürüyor. https://t.co/cgt0WONEHD",0,0,355,0,3616,0,https://twitter.com/gtmedyahaber/status/1882416458204143713,Twitter Web App,https://pbs.twimg.com/media/Gh-vsd9WoAAk-rY.jpg,,,,,Savaş
128,24.01.2025,GT Medya,1882416754099646594,Kaynak:https://t.co/IuFFzpmDFa,1,0,269,0,3617,0,https://twitter.com/gtmedyahaber/status/1882416754099646594,Twitter Web App,,,https://www.aa.com.tr/tr/gundem/istanbulda-teror-orgutu-deasa-yonelik-operasyonda-9-zanli-yakalandi/3460142,,,Afet
124,24.01.2025,GT Medya,1882417986298109953,"Cumhurbaşkanı Erdoğan, Yargı Reformu Stratejisi Tanıtım Toplantısı'nda konuştu:

🗣️Trafikte saldırı amacıyla araçlarından inen sürücülerin ehliyetine el konulacak.
🗣️ Nafakaya ilişkin yeni bir düzenleme yapılacak.

(1/3) https://t.co/2QDQBXBkjm",0,0,598,0,3617,0,https://twitter.com/gtmedyahaber/status/1882417986298109953,Twitter Web App,https://pbs.twimg.com/media/Gh-wdOoWQAEb8YH.jpg,,,,,Gündem
157,24.01.2025,GT Medya,1882419113542516965,"🗣️ Kısa süreli hapis cezasına seçenek yaptırımların kapsamı genişletilecek.
🗣️ Aile içi ve kadına yönelik şiddet suçları soruşturma büroları ülke sathında yaygınlaştırılacak.

(3/3)",1,0,392,0,3616,0,https://twitter.com/gtmedyahaber/status/1882419113542516965,Twitter Web App,,,,,,Siyaset
158,24.01.2025,GT Medya,1882420112764043765,Kaynak:https://t.co/3IMp0HrU53,0,0,325,0,3616,0,https://twitter.com/gtmedyahaber/status/1882420112764043765,Twitter Web App,,,https://www.aa.com.tr/tr/gundem/cumhurbaskani-erdogan-yeni-strateji-belgesiyle-etkin-ve-hizli-isleyen-bir-adalet-sistemi-insa-edecegiz/3460166,,,Afet
154,24.01.2025,GT Medya,1882424996246765798,"🚨#SonDakika: Elazığ'da maden ocağında patlama meydana geldi, 2 işçi göçük altında kaldı. https://t.co/R8fJwLrJN0",3,2,932,0,3616,0,https://twitter.com/gtmedyahaber/status/1882424996246765798,Twitter Web App,https://pbs.twimg.com/media/Gh-3hblXkAA_wem.jpg,,,,SonDakika,Gündem
155,24.01.2025,GT Medya,1882425368604516539,Kaynak: https://t.co/pFYtFPdO6d,1,0,485,0,3616,0,https://twitter.com/gtmedyahaber/status/1882425368604516539,Twitter Web App,,,https://x.com/birgun_gazetesi/status/1882420097568170371?s=12&t=kouJqqwQaa4Aoze3PzVORg,,,Afet
152,24.01.2025,GT Medya,1882429500291793056,"2025’in En iyi Film Oscar adayları, Akademi tarafından açıklandı:

🎥 Anora
🎥 The Brutalist
🎥 A Complete Unknown
🎥 Conclave
🎥 Dune: Part Two
🎥 Emilia Perez
🎥 I’m Still Here
🎥 Nickel Boys
🎥 The Substance 
🎥 Wicked https://t.co/bLnmZf6QGH",2,0,413,0,3616,0,https://twitter.com/gtmedyahaber/status/1882429500291793056,Twitter Web App,https://pbs.twimg.com/media/Gh-7EoRXkAAwjKG.jpg,,,,,Kültür & Sanat
153,24.01.2025,GT Medya,1882429712015958446,Kaynak: https://t.co/058U8pk4QV,0,0,487,0,3616,0,https://twitter.com/gtmedyahaber/status/1882429712015958446,Twitter Web App,,,https://x.com/TheAcademy/status/1882425285221790182,,,Afet
150,24.01.2025,GT Medya,1882431581262172611,"2025’in En İyi Uluslararası Film Oscar adayları, Akademi tarafından açıklandı:

🎥 I’m Still Here (Brezilya)
🎥 The Girl With The Needle (Danimarka)
🎥 Emilia Perez (Fransa)
🎥 The Seed Of The Sacred Fig (Almanya)
🎥 Flow (Letonya) https://t.co/Z3tHbG8aGf",2,0,396,0,3616,0,https://twitter.com/gtmedyahaber/status/1882431581262172611,Twitter Web App,https://pbs.twimg.com/media/Gh-9cXAXMAAkaQb.jpg,,,,,Kültür & Sanat
151,24.01.2025,GT Medya,1882431673511682476,Kaynak: https://t.co/6EOb8uEsyE,0,0,455,0,3616,0,https://twitter.com/gtmedyahaber/status/1882431673511682476,Twitter Web App,,,https://x.com/theacademy/status/1882424014968324494?s=12&t=kouJqqwQaa4Aoze3PzVORg,,,Afet
